축제명,간단한 소개,내용글,상세내용,포스터 이미지,이미지1,이미지2,이미지3,시작일,종료일,주소,운영기관,연락처
태안봄꽃정원,봄의 시작을 알리는 태안 봄꽃정원,"코로나로 인해 잠정 중단되었던 네이처월드의 꽃축제가 태안봄꽃정원으로 돌아왔다. 기존의 태안빛축제,수선화축제,백합꽃축제 운영 노하우를 바탕으로 낮엔 꽃축제, 밤엔 빛축제로 3만 5천평의 대지를 다채롭게 꾸며 기존에 볼 수 없던 새로운 모습으로 방문객들에게 잊지 못할 추억을 선사할 예정이다.
[행사내용]
대표 프로그램 : 꽃축제 관람","[행사내용]
대표 프로그램 : 꽃축제 관람",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/61ed68d8-5017-4096-a21b-291e040be852_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_61ed68d8-5017-4096-a21b-291e040be852_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_61ed68d8-5017-4096-a21b-291e040be852_5.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_61ed68d8-5017-4096-a21b-291e040be852_6.jpg,2025-04-03,2025-05-31,충청남도 태안군 남면 마검포길 200 네이처월드,㈜아다람농업회사법인,041-675-9200
경복궁 별빛야행,"경복궁의 가장 깊은 곳, 북측 권역의 문이 열립니다.","* 4월 4일은 휴궁일입니다. 축제 방문 전, 고궁 운영 일정 확인 부탁드립니다.

고즈넉한 밤의 경복궁, 별 초롱을 앞세우고 궁의 특별한 장소들을 찾고, 미처 알지 못했던 경복궁의 새롭고 비밀스런 이야기들을 통해 별빛 가득한 추억들을 마주할 수 있다.
[행사내용]
1. 도슭수라상
귀한 손님을 위해 수라상을 내올리다.
‘도슭’은 도시락의 옛말로 왕과 왕비에게 올리던 최고의 일상식인 12첩 반상을 현대적으로 해석해 유기 도시락에 정갈히 나누어 담아낸 음식입니다.

2. 별빛산책로
소주방→자경전→장고→집옥재→팔우정→건청궁→향원정
* 소주방∼장고: 궁중음식을 시식하고 장고에서 음식 관련 극을 감상
* 집옥재∼향원정: 고종의 이야기와 함께 경복궁 북측 권역 역사 탐방

- 외소주방 : 도슭수라상 궁중음식체험과 국악공연 관람
- 장고 : 장고마마와 나인의 작은 극 관람
- 집옥재·팔우정·건청궁 : 전각 및 내부 관람
- 향원정 : 취향교 건너 특별 관람","[행사내용]
1. 도슭수라상
귀한 손님을 위해 수라상을 내올리다.
‘도슭’은 도시락의 옛말로 왕과 왕비에게 올리던 최고의 일상식인 12첩 반상을 현대적으로 해석해 유기 도시락에 정갈히 나누어 담아낸 음식입니다.

2. 별빛산책로
소주방→자경전→장고→집옥재→팔우정→건청궁→향원정
* 소주방∼장고: 궁중음식을 시식하고 장고에서 음식 관련 극을 감상
* 집옥재∼향원정: 고종의 이야기와 함께 경복궁 북측 권역 역사 탐방

- 외소주방 : 도슭수라상 궁중음식체험과 국악공연 관람
- 장고 : 장고마마와 나인의 작은 극 관람
- 집옥재·팔우정·건청궁 : 전각 및 내부 관람
- 향원정 : 취향교 건너 특별 관람",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/77a088e0-72c5-463f-b9c8-898275a41af5_3.png,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_77a088e0-72c5-463f-b9c8-898275a41af5_4.png,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_77a088e0-72c5-463f-b9c8-898275a41af5_5.png,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_77a088e0-72c5-463f-b9c8-898275a41af5_6.png,2025-04-02,2025-05-17,서울특별시 종로구 사직로 161 (세종로),국가유산청 궁능유적본부/국가유산진흥원,1522-2295
용인 자작나무숲 봄꽃축제,"튤립이 가득한 봄, 용인자작나무숲에서의 힐링","용인자작나무숲은 2017년부터 준비하여 2024년에 완공된 자연의 아름다움을 느끼며 힐링할 수 있는 산책로 정원이다. 약 20만평 규모의 용인자작나무숲은 현재 일부 개방하였으며 추가 개발 진행 중이다. 작년 대비 3배 많은 튤립을 시작으로 봄꽃 축제를 준비하였고 4월 부터 만개할 여러 종의 꽃과 나무, 플리마켓, 작은음악회 등 다양한 볼거리와 행사 또한 볼 수 있다. 5kg 이하의 소형견도 입장할 수 있으며 곳곳에 준비된 포토존에서 가족과 함께 인생사진을 찍을 수 있다.
[행사내용]
1. 메인프로그램 : 튤립이 가득한 봄정원
2. 부대프로그램 : 푸드트럭
3. 소비자 참여 프로그램 : 페이스페인팅, 풍선아트, 열린음악회
4. 기타 내용 : 베이커리카페 베툴라, 이탈리안레스토랑 까사포레

[이용요금]
평일 – 성인 : 5000원 , 청소년 2000원, 13세이하 무료입장
주말 및 공휴일 – 성인 : 6000원, 청소년 3000원, 13세이하 무료입장
비고 - 용인,안성 시민 50% 추가할인 (개인별 신분증 제시)","[행사내용]
1. 메인프로그램 : 튤립이 가득한 봄정원
2. 부대프로그램 : 푸드트럭
3. 소비자 참여 프로그램 : 페이스페인팅, 풍선아트, 열린음악회
4. 기타 내용 : 베이커리카페 베툴라, 이탈리안레스토랑 까사포레

[이용요금]
평일 – 성인 : 5000원 , 청소년 2000원, 13세이하 무료입장
주말 및 공휴일 – 성인 : 6000원, 청소년 3000원, 13세이하 무료입장
비고 - 용인,안성 시민 50% 추가할인 (개인별 신분증 제시)",,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_1c502083-0ded-44d7-b628-c95f7c9fa0ed_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_1c502083-0ded-44d7-b628-c95f7c9fa0ed_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_1c502083-0ded-44d7-b628-c95f7c9fa0ed_5.jpg,2025-04-02,2025-06-09,경기도 용인시 처인구 백암면 석천리 723-2 용인자작나무숲,용인자작나무숲,031-333-8877
청춘마이크 전라제주 청춘퍼레이드,"모든 순간, 모든 곳이 무대! 청춘퍼레이드","2025 청춘마이크 전라제주 <청춘퍼레이드>는 단순히 공연의 연속이 아닌, 문화적 교류와 축제의 장을 열어가는 여정이다. 전라권과 제주권의 청년예술가와 지역 주민이 함께 만들어가는 참여형 축제로 함께하는 모든이에게 문화의 활력을 불어넣고, 연결과 소통의 장을 만들어가는 소중한 기회가 될 것이다.
[행사내용]
1. 출연 : 전라, 제주권 청년예술가 총 40팀 / 1회 4~6팀 출연
2. 일시 : 3월~11월 마지막 주 문화가 있는 날 주간
3. 장소 : 전라, 제주권 28개 시군구 총 40개 장소","[행사내용]
1. 출연 : 전라, 제주권 청년예술가 총 40팀 / 1회 4~6팀 출연
2. 일시 : 3월~11월 마지막 주 문화가 있는 날 주간
3. 장소 : 전라, 제주권 28개 시군구 총 40개 장소",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/6cebfdc3-8206-4a3a-9a40-c95775a1fbd5_3.jpg,,,,2025-03-29,2025-11-30,전북특별자치도 전주시 덕진구 세병로 177-44 (송천동2가) 전주 세병공원 외 전라·제주 40개소,문화체육관광부/지역문화진흥원,064-782-9135
양재 아트 살롱,예술이 흐르는 양재천 아트마켓,"양재아트살롱은 양재천의 감성적인 자연과 함께 문화예술을 만끽할 수 있는 복합문화 행사이다. 양재천길 수변무대에서 펼쳐지는 다채로운 장르의 버스킹 공연과 특별공연, 양재천길을 거닐며 만나보는 개성 넘치는 수공예품 플리마켓, 잔디광장의 해치와 함께하는 다양한 아트 체험, 영동1교 하부에서는 맛있는 푸드트럭까지 만날 수 있다. 소상공인과 예술가, 지역 주민 그리고 방문객까지 모두가 함께 예술을 즐기고 교류하는 축제이다.
[행사내용]
1. 오픈 스테이지
- 버스킹 공연
- 특별 공연
- 살롱 레크레이션
- 양재천천 장기자랑
- 양재천천 노래방

2. 크래프트 마켓
- 양재아트살롱 플리마켓(수공예품 판매)

3. 아뜰리에 가든
- 해치 아트벌룬 전시
- 체험프로그램(캐릭터 컬러링, 꽃갈피 제작, 레고 플레이 놀이터, 페이퍼 공예 체험)
*체험 프로그램은 월별로 변동되어 진행됩니다.

4. 이벤트
- 양재천에 숨겨진 벚꽃을 찾아라! 캐치 블라썸","[행사내용]
1. 오픈 스테이지
- 버스킹 공연
- 특별 공연
- 살롱 레크레이션
- 양재천천 장기자랑
- 양재천천 노래방

2. 크래프트 마켓
- 양재아트살롱 플리마켓(수공예품 판매)

3. 아뜰리에 가든
- 해치 아트벌룬 전시
- 체험프로그램(캐릭터 컬러링, 꽃갈피 제작, 레고 플레이 놀이터, 페이퍼 공예 체험)
*체험 프로그램은 월별로 변동되어 진행됩니다.

4. 이벤트
- 양재천에 숨겨진 벚꽃을 찾아라! 캐치 블라썸",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/8ccf08ba-3b3d-4df5-99da-cf9fcc6d403b_3.png,,,,2025-03-28,2025-05-25,서울특별시 서초구 양재동 261-23 양재천(수변무대~영동1교) 양재천길,서초구/서초여성일자리주식회사,070-7712-0507
천리포수목원 봄축제,"대한민국의 정원 태안, 천리포수목원 봄축제","충남 태안 천리포수목원에서 목련축제를 시작으로 5월 31일까지 이어지는 봄 축제가 함께 개최된다. 비교적 이르게 피는 목련이 지고 난 뒤 수목원을 장식하는 튤립, 알리움, 황목향화 등 다양한 봄꽃을 만끽할 수 있는 시간이다. 다양한 봄꽃이 만들어내는 독보적인 경치를 천리포수목원에서 즐길 수 있다.
[행사내용]
1. 메인프로그램 : 천리포수목원 해설 프로그램 등
2. 부대프로그램 : 가정의 달, 어린이 날 이벤트, 생물다양성의 날 행사, 멸종위기종복원행사, 전시 등
3. 소비자 참여 프로그램 : 교육 프로그램, 각종 체험 프로그램 등
4. 기타 내용 : 굿즈 판매, 봄꽃 판매 등

*입장료 - 유료
- 일반요금 15,000원
- 우대요금 11,000원
- 특별우대 6,000원
- 만 36개월 미만 유아, 1~3금에 해당하는 장애인 본인, 소원면민 본인, 숙박이용객, 후원회원 무료
- 프로그램 수목원 해설 프로그램 5,000원 ~ 50,000원","[행사내용]
1. 메인프로그램 : 천리포수목원 해설 프로그램 등
2. 부대프로그램 : 가정의 달, 어린이 날 이벤트, 생물다양성의 날 행사, 멸종위기종복원행사, 전시 등
3. 소비자 참여 프로그램 : 교육 프로그램, 각종 체험 프로그램 등
4. 기타 내용 : 굿즈 판매, 봄꽃 판매 등

*입장료 - 유료
- 일반요금 15,000원
- 우대요금 11,000원
- 특별우대 6,000원
- 만 36개월 미만 유아, 1~3금에 해당하는 장애인 본인, 소원면민 본인, 숙박이용객, 후원회원 무료
- 프로그램 수목원 해설 프로그램 5,000원 ~ 50,000원",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/c528f658-903d-4995-8bc0-52246fa4fb7d_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_c528f658-903d-4995-8bc0-52246fa4fb7d_4.JPG,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_c528f658-903d-4995-8bc0-52246fa4fb7d_5.JPG,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_c528f658-903d-4995-8bc0-52246fa4fb7d_6.JPG,2025-03-28,2025-05-31,충청남도 태안군 소원면 천리포1길 187 천리포수목원,천리포수목원,041-672-9982
문화가 있는 날 실버마이크 <전라·제주 권역>,"무대 위에 핀, 우리들의 이야기","올해 실버마이크 전라/제주권역은 전 세대에게 삶의 메시지를 제공하고, 모두가 어울릴 수 있는 교류의 장을 만들기 위한 거리 공연으로 운영된다. 단순히 공연 실력을 뽐내는 자리가 아니라, 그들의 이야기와 열정을 담아 인생에서 가장 빛나는 순간을 지역민과 공유하기 위해 기획된 공연이다. ‘무대 위에 핀, 우리들의 이야기’는 사회가 정한 은퇴에 휘둘리지 않고 나를 표현할 수 있는 최고의 명장면을 만들기 위한 공연 프로젝트이다. 실버예술가의 과거와 현재, 그리고 미래를 담은 일대기가 공연을 통해 지역민에게 전파되는 과정 속에서 무대를 통해 실버 예술가들은 인생에 새로운 의미를 더해 문화적 주체로서 삶을 완성시키고, 관객은 문화와 감동이 있는 삶을 찾게 되는 것을 지향한다. 누구나 겪었을, 누구나 겪게 될 각자의 이야기와 지역의 정서가 버무려진 실버마이크를 통해 전라/제주권역 직주 근접지역 곳곳에서 다채로운 음악과 퍼포먼스를 선뵈는 실버예술가를 만날볼 수 있다.
[행사내용]
실버마이크 '무대 위에 핀, 우리들의 이야기'는 일상의 공간에서 마주하는 아티스트별 공연 및 프로젝트팀 컬래버레이션 공연으로 진행","[행사내용]
실버마이크 '무대 위에 핀, 우리들의 이야기'는 일상의 공간에서 마주하는 아티스트별 공연 및 프로젝트팀 컬래버레이션 공연으로 진행",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/718540d4-30a9-4785-937a-02b61f075c37_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_718540d4-30a9-4785-937a-02b61f075c37_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_718540d4-30a9-4785-937a-02b61f075c37_5.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_718540d4-30a9-4785-937a-02b61f075c37_6.jpg,2025-03-26,2025-12-31,광주광역시 남구 덕남길 7 (노대동),"문화체육관광부/지역문화진흥원, ㈜상상오",062-419-1272
문화가 있는 날 청춘마이크 충청권,각양각색 재미의 형태가 찾아오다,"관객과 예술가의 소통과 공감을 이끄는 공간을 구성한다. 다양한 예술 장르가 결합하여 참여 예술가들이 예술의 경계를 넘나드는 매력적인 공연을 선보일 것이며, 주민들의 삶에 에너지를 채워주고 색다른 감동과 재미를 주는 경험될 것이다.
[행사내용]
1. 메인프로그램 : 퓨전국악, 월드뮤직, 집시음악, 국악, 재즈, 전통연희, 대중음악, 마술 등 다양한 청년 예술가들의 공연
2. 부대프로그램 : 다양한 체험과 지역 단체와 연계한 프로그램 진행 예정
3. 기타 내용 : 직접 경험하고 참여할 수 있는 기회를 제공해 모두가 즐길 수 있는 하나의 축제를 만들 예정","[행사내용]
1. 메인프로그램 : 퓨전국악, 월드뮤직, 집시음악, 국악, 재즈, 전통연희, 대중음악, 마술 등 다양한 청년 예술가들의 공연
2. 부대프로그램 : 다양한 체험과 지역 단체와 연계한 프로그램 진행 예정
3. 기타 내용 : 직접 경험하고 참여할 수 있는 기회를 제공해 모두가 즐길 수 있는 하나의 축제를 만들 예정",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/2cd0c3d5-7e0e-4d02-bd5b-c37ed3736510_3.jpg,,,,2025-03-25,2025-11-30,대전광역시 유성구 유성대로740번길 46 (장대동),문화체육관광부/지역문화진흥원,042-825-6781
네이처파크 플라워페스티벌,"꽃과 나무,동물이 함계하는 교감형 생태 동물원","네이처파크는 12만평 부지의 식물원 내 초대형 글라스하우스 실내동물원과 방사형 야외 동물원으로 구성된 네이처파크는 86여종, 444마리 이상의 동물. 350여종의 수목, 100여종 이상의 다양한 꽃들이 공존하는 생태 동물원 이다. 4계절 축제가 다양하게 열리며, 이번 [플라워 페스티벌]축제기간동안 동물행동 풍부화를 토대로 동물탐험대 프로그램을 운영중에 있어 동물의 행동을 풍부하게 해주는 프로그램을 직접 눈 앞에서 볼 수 있다. 플라워페스티벌에는 입구에서 부터 봄꽃의 향기로운 꽃내음이 풍기며 다양한 꽃과 나무, 사랑스러운 포토존이 곳곳마다 가득차 있어 어디서든 인생샷을 건질 수 있다. 최대한 자연서식지와 비슷한 야외 동물사를 조성하여 반달가슴곰을 맞을 준비중이며 축제기간 내에 실내동물원에서 지내던 반달가슴곰 두 마리를 만나볼 수 있다. 또한 플라워페스티벌을 맞이 하여 이벤트 기간 내 네이처파크 내부 바람의 언덕(잔디공연장)에서 버블쇼+범블비,농부마술쇼,도그쇼를 준비했다. 축제기간에는 네이처파크에서 여러가지 공연을 관람할 수 있는 기회를 제공하고 있다.
[행사내용]
1. 메인프로그램 : 동물 탐험대 (동물 행동 풍부화 프로그램으로써 동물들이 더욱 행복할 수있게 해주는 프로그램)
2. 부대프로그램 : 주말 공연(3월22,23일, 4월 주말, 5월3일~5일)
3. 소비자 참여 프로그램 : 동물탐험대
4. 기타 내용 : 3월 22일 시작에 맞춰 네이처파크에 반달가슴곰 두마리를 공개한다.","[행사내용]
1. 메인프로그램 : 동물 탐험대 (동물 행동 풍부화 프로그램으로써 동물들이 더욱 행복할 수있게 해주는 프로그램)
2. 부대프로그램 : 주말 공연(3월22,23일, 4월 주말, 5월3일~5일)
3. 소비자 참여 프로그램 : 동물탐험대
4. 기타 내용 : 3월 22일 시작에 맞춰 네이처파크에 반달가슴곰 두마리를 공개한다.",,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_38a28ddb-f10e-488b-9a91-66c022c5fe18_3.JPG,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_38a28ddb-f10e-488b-9a91-66c022c5fe18_4.JPG,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_38a28ddb-f10e-488b-9a91-66c022c5fe18_5.JPG,2025-03-22,2025-06-08,대구광역시 달성군 가창면 가창로 891,리조트 스파밸리/네이처파크,1688-8511
피나클랜드 백만송이 튤립 수선화 봄꽃대향연,피나클랜드에서 펼쳐지는 다양한 봄꽃대향연!,"다양한 봄꽃과 튤립,수선화가 피나클랜드를 가득 채운다. 주말에는 버블쇼, 음악회 등 매주 다양한 이벤트를 진행한다. 피나클랜드 내부의 카페 드 피나클에서는 봄꽃에이드, 봄꽃쌍화차 등 특별메뉴와 함께 먹거리장터에서는 다양한 음식들까지 준비되어 오감을 만족시켜준다. 볼거리, 먹을거리, 즐길거리 가득한 피나클랜드에서 봄을 만끽할 수 있다.
[행사내용]
1. 메인프로그램 : 억만송이 봄꽃축제 튤립수선화축제
2. 부대프로그램 : 버블쇼, 마술공연, 현악기 등 문화예술공연
3. 소비자 참여 프로그램 : 알파카, 꽃사슴, 유산양 동물 먹이주기 체험
4. 먹거리 : 카페 및 먹거리장터, 스낵

*이용료
준성수기 (시즌1: 3.22~4.6, 시즌2: 5.12~5.25) 입장료 13,000원
성수기 (4.7~5.11) 입장료 15,000원
할인대상자 : 어린이/청소년/65세이상경로/장애인 2,000원 할인","[행사내용]
1. 메인프로그램 : 억만송이 봄꽃축제 튤립수선화축제
2. 부대프로그램 : 버블쇼, 마술공연, 현악기 등 문화예술공연
3. 소비자 참여 프로그램 : 알파카, 꽃사슴, 유산양 동물 먹이주기 체험
4. 먹거리 : 카페 및 먹거리장터, 스낵

*이용료
준성수기 (시즌1: 3.22~4.6, 시즌2: 5.12~5.25) 입장료 13,000원
성수기 (4.7~5.11) 입장료 15,000원
할인대상자 : 어린이/청소년/65세이상경로/장애인 2,000원 할인",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/c1ff2ff5-bc88-46ab-a699-a616cda72342_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_c1ff2ff5-bc88-46ab-a699-a616cda72342_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_c1ff2ff5-bc88-46ab-a699-a616cda72342_5.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_c1ff2ff5-bc88-46ab-a699-a616cda72342_6.jpg,2025-03-22,2025-05-25,충청남도 아산시 영인면 월선길 20-42 피나클랜드,㈜피나클랜드농업회사법인,041-541-2582
피나클랜드 불꽃축제,밤하늘에 별이 쏟아지는 피나클랜드만의 특별한 불꽃축제,"피나클랜드의 명물이 되어버린 불꽃축제이다. 낮에는 억만송이 봄꽃과 튤립수선화가 맞이하고, 밤에는 피나클랜드 불꽃축제가 진행된다.
[행사내용]
1. 메인프로그램 : 피나클랜드 불꽃축제
2. 부대프로그램 : 버블쇼, 마술공연, 현악기 등 문화예술공연
3. 소비자 참여 프로그램 : 알파카, 꽃사슴, 유산양 동물 먹이주기 체험
4. 먹거리 : 카페 및 먹거리장터, 스낵

*요금
매주 토요일 입장료 16,000원
할인대상자 : 어린이/청소년/65세이상경로/장애인 2,000원 할인","[행사내용]
1. 메인프로그램 : 피나클랜드 불꽃축제
2. 부대프로그램 : 버블쇼, 마술공연, 현악기 등 문화예술공연
3. 소비자 참여 프로그램 : 알파카, 꽃사슴, 유산양 동물 먹이주기 체험
4. 먹거리 : 카페 및 먹거리장터, 스낵

*요금
매주 토요일 입장료 16,000원
할인대상자 : 어린이/청소년/65세이상경로/장애인 2,000원 할인",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/d6a40a6c-2fb2-4d12-9093-b437539b83c9_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_d6a40a6c-2fb2-4d12-9093-b437539b83c9_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_d6a40a6c-2fb2-4d12-9093-b437539b83c9_5.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_d6a40a6c-2fb2-4d12-9093-b437539b83c9_6.jpg,2025-03-22,2025-05-17,충청남도 아산시 영인면 월선길 20-42 피나클랜드,㈜피나클랜드농업회사법인,041-541-2582
양평모두봄날,봄이 피어나는 양평 수미마을에서 신나는 모험을 떠나보세요!,"물 맑은 양평군에서 봄 축제가 개최된다. 장소는 수미마을로 365일축제가 있는 곳으로 2013년 대한민국 농촌마을대상에서 대통령상을 수상하고 각종 매스컴에 100번 이상 소개된 곳이다. 이곳 수미마을에서 따뜻한 봄날, 자연과 하나 되어 맛있고, 신나고, 즐거운 순간을 만들어보자. 낚시, 맨손 물고기 잡기, 딸기 체험, 액티비티, 만들기 체험까지 즐길 거리가 다채롭다. 양평모두봄날 축제는 아이부터 어른까지 누구나 즐길 수 있다.
[행사내용]
1. 메인프로그램 : 낚시체험, 맨손물고기잡기 체험, 딸기 맛보고 담아가기 체험, 딸기 아이스크림 체험, 찐빵, 피자, 사륜ATV, 다육이 만들기 체험
2. 부대프로그램 : 피크닉, 캠핑, RC카, 연날리기
3. 먹거리 체험 프로그램: 물고기 튀김, 매운탕, 시골밥상","[행사내용]
1. 메인프로그램 : 낚시체험, 맨손물고기잡기 체험, 딸기 맛보고 담아가기 체험, 딸기 아이스크림 체험, 찐빵, 피자, 사륜ATV, 다육이 만들기 체험
2. 부대프로그램 : 피크닉, 캠핑, RC카, 연날리기
3. 먹거리 체험 프로그램: 물고기 튀김, 매운탕, 시골밥상",,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_21fab3c8-39ff-404b-8b33-454890d20fa6_3.JPG,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_21fab3c8-39ff-404b-8b33-454890d20fa6_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_21fab3c8-39ff-404b-8b33-454890d20fa6_5.jpg,2025-03-15,2025-05-28,경기도 양평군 단월면 곱다니길 55-2,수미마을,031-775-5205
금남로 차 없는 거리 '걷자잉',우리 같이 금남로를 걷자ing!,"금남로 차 없는 거리 축제는 광주광역시 동구 금남로에서 매달 1회 열리는 행사이다. 이 축제는 대중교통, 자전거, 보행을 활성화하고 친환경 도시 문화를 확산시키기 위해 기획되었다. 2025년에는 3월부터 12월까지 월 1회 진행된다. 행사에서는 시민들이 자유롭게 걸을 수 있는 환경을 제공하며, 다양한 체험 프로그램과 문화 공연이 함께 운영된다. 특히, 개막 행사에서는 자전거 퍼레이드가 포함된다. 이 축제는 대중교통과 친환경 이동수단의 장점을 알리고, 보행권의 중요성을 강조하는 데 목적이 있다. 금남로를 중심으로 시민들이 함께 소통하며 즐길 수 있는 도심 속 문화 축제이다.
[행사내용]
1) 도심 속 휴식공간 '쉬자잉'
- 도로 위 편안하게 휴식을 취할 수 있도록 빈백과 파라솔 마련
- 빈백은 광활한 도로 위 해방감을, 투명 돔은 포근하고 아늑한 분위기 제공
- 관내 지역서점 연계 및 디자인 부스 설치로 시민들이 휴식과 독서를 동시에 즐길 수 있음

2) 탄소 중립 실현 '줄여잉'
- 유관 및 환경단체의 나무 부스를 설치해 친환경적인 체험을 제공하는 공간 조성
- 자원순환 로봇을 활용해 투명 페트병을 수거하며 시민들에게 재활용의 중요성을 체감하도록 유도

3) 시민/상인/단체 주도의 시민 자율공간 '놀자잉'
- 자전거 이용자들의 편의를 위해 별도의 자전거 보관공간 마련
- 시민 참여형 플리마켓으로 행사의 재미와 체류 시간을 동시에 높임
- 버스킹 무대는 시설물을 최소화하고 도시미관과 차경을 고려하여, 주변과 자연스럽게 융화되도록 구성

4) 대형 상징 조형물 포토존 '찍어잉'
- 행사장 입구를 알리는 시그니처 조형물 제작·설치
- 대자보 시즌 별 랩핑디자인을 연출하여 행사의 주제를 직관적으로 전달","[행사내용]
1) 도심 속 휴식공간 '쉬자잉'
- 도로 위 편안하게 휴식을 취할 수 있도록 빈백과 파라솔 마련
- 빈백은 광활한 도로 위 해방감을, 투명 돔은 포근하고 아늑한 분위기 제공
- 관내 지역서점 연계 및 디자인 부스 설치로 시민들이 휴식과 독서를 동시에 즐길 수 있음

2) 탄소 중립 실현 '줄여잉'
- 유관 및 환경단체의 나무 부스를 설치해 친환경적인 체험을 제공하는 공간 조성
- 자원순환 로봇을 활용해 투명 페트병을 수거하며 시민들에게 재활용의 중요성을 체감하도록 유도

3) 시민/상인/단체 주도의 시민 자율공간 '놀자잉'
- 자전거 이용자들의 편의를 위해 별도의 자전거 보관공간 마련
- 시민 참여형 플리마켓으로 행사의 재미와 체류 시간을 동시에 높임
- 버스킹 무대는 시설물을 최소화하고 도시미관과 차경을 고려하여, 주변과 자연스럽게 융화되도록 구성

4) 대형 상징 조형물 포토존 '찍어잉'
- 행사장 입구를 알리는 시그니처 조형물 제작·설치
- 대자보 시즌 별 랩핑디자인을 연출하여 행사의 주제를 직관적으로 전달",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/41f5606e-f3a7-4d80-a03d-40beacfe8327_3.jpg,,,,2025-03-08,2025-12-31,광주광역시 동구 금남로 245 (금남로1가),광주광역시 동구/㈜상상오,062-413-1270
